name,link,flag_ratio,year_first.usage,year_current.ver,year_last.change,population,surface_sq.mi,density_sq.mi
Iceland,cdn.countryflags.com/thumbs/iceland/flag-400.png,18:25,-,1944,-,331310,39769,8
Barbados,cdn.countryflags.com/thumbs/barbados/flag-400.png,2:3,-,1966,-,277821,166,1673
São Tomé and Príncipe,cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-400.png,1:2,1975,1975,1975,194388,372,522
Samoa,cdn.countryflags.com/thumbs/samoa/flag-400.png,1:2,-,1949,-,187820,1097,171
Saint Lucia,cdn.countryflags.com/thumbs/saint-lucia/flag-400.png,1:2,1967,1979,2002,186000,238,782
Kiribati,cdn.countryflags.com/thumbs/kiribati/flag-400.png,1:2,1979,1979,1979,113400,313,362
Saint Vincent and the Grenadines,cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-400.png,2:3,1985,1985,1985,109455,150,729
Grenada,cdn.countryflags.com/thumbs/grenada/flag-400.png,3:5,1974,1974,1974,103328,133,778
Tonga,cdn.countryflags.com/thumbs/tonga/flag-400.png,1:2,1674,1875,1875,103252,288,358
Micronesia,cdn.countryflags.com/thumbs/micronesia/flag-400.png,10:19,1965,1979,1979,102800,271,379
Antigua and Barbuda,cdn.countryflags.com/thumbs/antigua-and-barbuda/flag-400.png,2:3,1967,1967,-,93183,171,546
"Seychelles, the",cdn.countryflags.com/thumbs/seychelles/flag-400.png,1:2,1996,1996,1996,91400,175,524
Andorra,cdn.countryflags.com/thumbs/andorra/flag-400.png,7:10,1866,1971,1971,72090,181,399
Dominica,cdn.countryflags.com/thumbs/dominica/flag-400.png,1:2,1978,1990,1990,71293,290,246
"Marshall Islands, the",cdn.countryflags.com/thumbs/marshall-islands/flag-400.png,10:19,1979,1979,1979,54880,70,785
Saint Kitts and Nevis,cdn.countryflags.com/thumbs/saint-kitts-and-nevis/flag-400.png,2:3,1983,1983,1983,46204,101,459
Monaco,cdn.countryflags.com/thumbs/monaco/flag-400.png,4:5,1881,1881,1881,37800,1,48462
Liechtenstein,cdn.countryflags.com/thumbs/liechtenstein/flag-400.png,3:5,-,1937,-,37370,62,605
San Marino,cdn.countryflags.com/thumbs/san-marino/flag-400.png,3:4,1797,1862,2011,32181,24,1366
Palau,cdn.countryflags.com/thumbs/palau/flag-400.png,5:8,1981,1981,1981,21300,177,120
Tuvalu,cdn.countryflags.com/thumbs/tuvalu/flag-400.png,1:2,1978,1997,1997,10640,10,1060
Nauru,cdn.countryflags.com/thumbs/nauru/flag-400.png,1:2,1968,1968,1968,10084,8,1243
Niue,cdn.countryflags.com/thumbs/niue/flag-400.png,1:2,-,1975,-,1470,100,15
Vatican City,cdn.countryflags.com/thumbs/vatican-city/flag-400.png,1:1,-,1929,-,839,0,4935
